站点号,乡镇,县/区,市,省,空气质量城市
101010100,,城区,北京,北京,true
101010200,,海淀,北京,北京,-
101010300,,朝阳,北京,北京,true
101010400,,顺义,北京,北京,-
101010500,,怀柔,北京,北京,-
101010600,,通州,北京,北京,-
101010700,,昌平,北京,北京,-
101010800,,延庆,北京,北京,-
101010900,,丰台,北京,北京,-
101011000,,石景山,北京,北京,-
101011100,,大兴,北京,北京,-
101011200,,房山,北京,北京,-
101011300,,密云,北京,北京,-
101011400,,门头沟,北京,北京,-
101011500,,平谷,北京,北京,-
101011600,,东城,北京,北京,-
101011700,,西城,北京,北京,-
101020100,,城区,上海,上海,true
101020200,,闵行,上海,上海,-
101020300,,宝山,上海,上海,-
101020400,,黄浦,上海,上海,-
101020500,,嘉定,上海,上海,-
101020600,,浦东新区,上海,上海,-
101020700,,金山,上海,上海,-
101020800,,青浦,上海,上海,-
101020900,,松江,上海,上海,-
101021000,,奉贤,上海,上海,-
101021100,,崇明,上海,上海,-
101021200,,徐汇,上海,上海,-
101021300,,长宁,上海,上海,-
101021400,,静安,上海,上海,-
101021500,,普陀,上海,上海,-
101021600,,虹口,上海,上海,-
101021700,,杨浦,上海,上海,-
101030100,,城区,天津,天津,true
101030200,,武清,天津,天津,-
101030300,,宝坻,天津,天津,-
101030400,,东丽,天津,天津,-
101030500,,西青,天津,天津,-
101030600,,北辰,天津,天津,-
101030700,,宁河,天津,天津,-
101030800,,和平,天津,天津,-
101030900,,静海,天津,天津,-
101031000,,津南,天津,天津,-
101031100,,滨海新区,天津,天津,-
101031200,,河东,天津,天津,-
101031300,,河西,天津,天津,-
101031400,,蓟州,天津,天津,-
101031500,,南开,天津,天津,-
101031600,,河北,天津,天津,-
101031700,,红桥,天津,天津,-
101040100,,城区,重庆,重庆,true
101040200,,永川,重庆,重庆,-
101040300,,合川,重庆,重庆,-
101040400,,南川,重庆,重庆,-
101040500,,江津,重庆,重庆,-
101040700,,渝北,重庆,重庆,-
101040800,,北碚,重庆,重庆,-
101040900,,巴南,重庆,重庆,-
101041000,,长寿,重庆,重庆,-
101041100,,黔江,重庆,重庆,-
101041200,,渝中,重庆,重庆,-
101041300,,万州,重庆,重庆,-
101041400,,涪陵,重庆,重庆,-
101041600,,城口,重庆,重庆,-
101041700,,云阳,重庆,重庆,-
101041800,,巫溪,重庆,重庆,-
101041900,,奉节,重庆,重庆,-
101042000,,巫山,重庆,重庆,-
101042100,,潼南,重庆,重庆,-
101042200,,垫江,重庆,重庆,-
101042300,,梁平,重庆,重庆,-
101042400,,忠县,重庆,重庆,-
101042500,,石柱,重庆,重庆,-
101042600,,大足,重庆,重庆,-
101042700,,荣昌,重庆,重庆,-
101042800,,铜梁,重庆,重庆,-
101042900,,璧山,重庆,重庆,-
101043000,,丰都,重庆,重庆,-
101043100,,武隆,重庆,重庆,-
101043200,,彭水,重庆,重庆,-
101043300,,綦江,重庆,重庆,-
101043400,,酉阳,重庆,重庆,-
101043500,,大渡口,重庆,重庆,-
101043600,,秀山,重庆,重庆,-
101043700,,江北,重庆,重庆,-
101043800,,沙坪坝,重庆,重庆,-
101043900,,九龙坡,重庆,重庆,-
101044000,,南岸,重庆,重庆,-
101044100,,开州,重庆,重庆,-
101050101,,城区,哈尔滨,黑龙江,true
101050102,,双城,哈尔滨,黑龙江,-
101050103,,呼兰,哈尔滨,黑龙江,-
101050104,,阿城,哈尔滨,黑龙江,-
101050105,,宾县,哈尔滨,黑龙江,-
101050106,,依兰,哈尔滨,黑龙江,-
101050107,,巴彦,哈尔滨,黑龙江,-
101050108,,通河,哈尔滨,黑龙江,-
101050109,,方正,哈尔滨,黑龙江,-
101050110,,延寿,哈尔滨,黑龙江,-
101050111,,尚志,哈尔滨,黑龙江,-
101050112,,五常,哈尔滨,黑龙江,-
101050113,,木兰,哈尔滨,黑龙江,-
101050114,,道里,哈尔滨,黑龙江,-
101050115,,南岗,哈尔滨,黑龙江,-
101050116,,道外,哈尔滨,黑龙江,-
101050117,,平房,哈尔滨,黑龙江,-
101050118,,松北,哈尔滨,黑龙江,-
101050119,,香坊,哈尔滨,黑龙江,-
101050201,,城区,齐齐哈尔,黑龙江,true
101050202,,讷河,齐齐哈尔,黑龙江,-
101050203,,龙江,齐齐哈尔,黑龙江,-
101050204,,甘南,齐齐哈尔,黑龙江,true
101050205,,富裕,齐齐哈尔,黑龙江,-
101050206,,依安,齐齐哈尔,黑龙江,-
101050207,,拜泉,齐齐哈尔,黑龙江,-
101050208,,克山,齐齐哈尔,黑龙江,-
101050209,,克东,齐齐哈尔,黑龙江,-
101050210,,泰来,齐齐哈尔,黑龙江,-
101050211,,龙沙,齐齐哈尔,黑龙江,-
101050212,,建华,齐齐哈尔,黑龙江,-
