站点号,乡镇,县/区,市,省,空气质量城市
101010100,,城区,北京,北京,true
101020100,,城区,上海,上海,true
101030100,,城区,天津,天津,true
101040100,,城区,重庆,重庆,true
101050101,,城区,哈尔滨,黑龙江,true
101050201,,城区,齐齐哈尔,黑龙江,true
101050301,,城区,牡丹江,黑龙江,true
101050401,,城区,佳木斯,黑龙江,true
101050501,,城区,绥化,黑龙江,true
101050601,,城区,黑河,黑龙江,true
101050701,,城区,大兴安岭,黑龙江,true
101050801,,城区,伊春,黑龙江,true
101050901,,城区,大庆,黑龙江,true
101051001,,城区,七台河,黑龙江,-
101051101,,城区,鸡西,黑龙江,true
101051201,,城区,鹤岗,黑龙江,true
101051301,,城区,双鸭山,黑龙江,true
101060101,,城区,长春,吉林,true
101060201,,城区,吉林,吉林,true
101060301,,城区,延边,吉林,true
101060401,,城区,四平,吉林,true
101060501,,城区,通化,吉林,true
101060601,,城区,白城,吉林,true
101060701,,城区,辽源,吉林,true
101060801,,城区,松原,吉林,true
101060901,,城区,白山,吉林,true
101070101,,城区,沈阳,辽宁,true
101070201,,城区,大连,辽宁,true
101070301,,城区,鞍山,辽宁,true
101070401,,城区,抚顺,辽宁,true
101070501,,城区,本溪,辽宁,true
101070601,,城区,丹东,辽宁,true
101070701,,城区,锦州,辽宁,true
101070801,,城区,营口,辽宁,true
101070901,,城区,阜新,辽宁,true
101071001,,城区,辽阳,辽宁,true
101071101,,城区,铁岭,辽宁,true
101071201,,城区,朝阳,辽宁,-
101071301,,城区,盘锦,辽宁,true
101071401,,城区,葫芦岛,辽宁,true
101080101,,城区,呼和浩特,内蒙古,true
101080201,,城区,包头,内蒙古,true
101080301,,城区,乌海,内蒙古,true
101080401,,城区,乌兰察布,内蒙古,true
101080501,,城区,通辽,内蒙古,true
101080601,,城区,赤峰,内蒙古,true
101080701,,城区,鄂尔多斯,内蒙古,true
101080801,,城区,巴彦淖尔,内蒙古,true
101080901,,城区,锡林郭勒,内蒙古,true
101081001,,城区,呼伦贝尔,内蒙古,true
101081101,,城区,兴安盟,内蒙古,true
101081201,,城区,阿拉善盟,内蒙古,true
101090101,,城区,石家庄,河北,true
101090201,,城区,保定,河北,true
101090301,,城区,张家口,河北,true
101090401,,城区,承德,河北,-
101090501,,城区,唐山,河北,true
101090601,,城区,廊坊,河北,true
101090701,,城区,沧州,河北,true
101090801,,城区,衡水,河北,true
101090901,,城区,邢台,河北,true
101091001,,城区,邯郸,河北,true
101091101,,城区,秦皇岛,河北,true
101091201,,城区,雄安新区,河北,-
101100101,,城区,太原,山西,true
101100201,,城区,大同,山西,true
101100301,,城区,阳泉,山西,true
101100401,,城区,晋中,山西,true
101100501,,城区,长治,山西,true
101100601,,城区,晋城,山西,true
101100701,,城区,临汾,山西,true
101100801,,城区,运城,山西,true
101100901,,城区,朔州,山西,true
101101001,,城区,忻州,山西,true
101101101,,吕梁,吕梁,山西,-
101110101,,城区,西安,陕西,true
101110201,,三原,咸阳,陕西,-
101110301,,延长,延安,陕西,-
101110401,,城区,榆林,陕西,true
101110501,,城区,渭南,陕西,true
101110601,,城区,商洛,陕西,true
101110701,,城区,安康,陕西,true
101110801,,城区,汉中,陕西,true
101110901,,城区,宝鸡,陕西,true
101111001,,城区,铜川,陕西,true
101111101,,城区,杨凌,陕西,-
101120101,,城区,济南,山东,true
101120201,,城区,青岛,山东,true
